min_support,min_confidence,min_lift,n_itemsets,n_regras,n_regras_gravidade,tempo_fpgrowth_s,tempo_regras_s
0.01,0.3,1.0,31933,275243,98375,1.029,5.401
0.01,0.3,1.5,31933,121567,40509,1.029,5.401
0.01,0.3,2.0,31933,68817,22524,1.029,5.401
0.01,0.5,1.0,31933,150382,56354,1.029,4.291
0.01,0.5,1.5,31933,60135,19820,1.029,4.291
0.01,0.5,2.0,31933,32443,10461,1.029,4.291
0.01,0.7,1.0,31933,79296,33003,1.029,3.491
0.01,0.7,1.5,31933,29160,9845,1.029,3.491
0.01,0.7,2.0,31933,14853,4716,1.029,3.491
0.03,0.3,1.0,5944,39048,14366,0.305,0.758
0.03,0.3,1.5,5944,12492,4124,0.305,0.758
0.03,0.3,2.0,5944,5954,1927,0.305,0.758
0.03,0.5,1.0,5944,21764,8431,0.305,0.622
0.03,0.5,1.5,5944,6511,2121,0.305,0.622
0.03,0.5,2.0,5944,3060,971,0.305,0.622
0.03,0.7,1.0,5944,11849,5139,0.305,0.361
0.03,0.7,1.5,5944,3562,1181,0.305,0.361
0.03,0.7,2.0,5944,1632,498,0.305,0.361
0.05,0.3,1.0,2467,14151,5270,0.416,0.254
0.05,0.3,1.5,2467,3768,1225,0.416,0.254
0.05,0.3,2.0,2467,1510,484,0.416,0.254
0.05,0.5,1.0,2467,7923,3126,0.416,0.166
0.05,0.5,1.5,2467,2013,649,0.416,0.166
0.05,0.5,2.0,2467,854,269,0.416,0.166
0.05,0.7,1.0,2467,4291,1906,0.416,0.148
0.05,0.7,1.5,2467,1105,359,0.416,0.148
0.05,0.7,2.0,2467,467,138,0.416,0.148
0.1,0.3,1.0,706,3073,1175,0.273,0.048
0.1,0.3,1.5,706,635,201,0.273,0.048
0.1,0.3,2.0,706,198,62,0.273,0.048
0.1,0.5,1.0,706,1814,740,0.273,0.037
0.1,0.5,1.5,706,379,118,0.273,0.037
0.1,0.5,2.0,706,132,41,0.273,0.037
0.1,0.7,1.0,706,1017,470,0.273,0.025
0.1,0.7,1.5,706,217,67,0.273,0.025
0.1,0.7,2.0,706,85,23,0.273,0.025
