support,itemsets
0.9181853431562621,frozenset({'desfecho_Ferido'})
0.6979449398991857,frozenset({'ctx_uso_solo_Não'})
0.6890267545560295,frozenset({'ctx_fim_de_semana_Não'})
0.5936409461031408,frozenset({'ctx_fase_dia_Pleno_dia'})
0.5110507948817371,frozenset({'ctx_condicao_metereologica_Céu_Claro'})
0.4955409073284219,frozenset({'ctx_tipo_pista_Simples'})
0.4117875145405196,frozenset({'ctx_tracado_via_Reta'})
0.07367196587824738,frozenset({'ctx_tipo_acidente_Colisão_frontal'})
0.05234587049243893,frozenset({'ctx_causa_acidente_Condutor_Dormindo'})
0.20085304381543234,frozenset({'ctx_condicao_metereologica_Chuva'})
0.03993796044978674,frozenset({'ctx_causa_acidente_Chuva'})
0.019387359441644048,frozenset({'ctx_tracado_via_Aclive;Curva'})
0.3132997285769678,frozenset({'ctx_fase_dia_Plena_Noite'})
0.20705699883675843,frozenset({'ctx_tipo_acidente_Saída_de_leito_carroçável'})
0.19464908879410625,frozenset({'ctx_condicao_metereologica_Nublado'})
0.12097712291585885,frozenset({'ctx_causa_acidente_Velocidade_Incompatível'})
0.039162466072120976,frozenset({'ctx_tracado_via_Curva;Declive'})
0.4556029468786351,frozenset({'ctx_tipo_pista_Dupla'})
0.0244280728964715,frozenset({'ctx_tracado_via_Curva;Aclive'})
0.16944552151996897,frozenset({'ctx_tipo_acidente_Colisão_traseira'})
0.13532376890267545,frozenset({'ctx_causa_acidente_Reação_tardia_ou_ineficiente_do_condutor'})
0.04187669639395114,frozenset({'ctx_tracado_via_Declive;Reta'})
0.1690577743311361,frozenset({'ctx_causa_acidente_Ausência_de_reação_do_condutor'})
0.08181465684373788,frozenset({'desfecho_Fatal'})
0.07638619620007756,frozenset({'ctx_causa_acidente_Acessar_a_via_sem_observar_a_presença_dos_outros_veículos'})
0.04459092671578131,frozenset({'ctx_tipo_acidente_Atropelamento_de_Pedestre'})
0.31097324544397054,frozenset({'ctx_fim_de_semana_Sim'})
0.0895696006203955,frozenset({'ctx_tipo_acidente_Colisão_lateral_mesmo_sentido'})
0.023264831329972858,frozenset({'ctx_causa_acidente_Ultrapassagem_Indevida'})
0.1853431562621171,frozenset({'ctx_tracado_via_Curva'})
0.027142303218301668,frozenset({'ctx_tipo_acidente_Colisão_lateral_sentido_oposto'})
0.07832493214424195,frozenset({'ctx_tipo_acidente_Colisão_com_objeto'})
0.031019775106630478,frozenset({'ctx_condicao_metereologica_Garoa/Chuvisco'})
0.012795657231485071,frozenset({'ctx_causa_acidente_Pista_Escorregadia'})
0.3020550601008143,frozenset({'ctx_uso_solo_Sim'})
0.048856145792943,frozenset({'ctx_tipo_pista_Múltipla'})
0.04459092671578131,frozenset({'ctx_tracado_via_Declive;Curva'})
0.018999612252811167,frozenset({'ctx_causa_acidente_Avarias_e/ou_desgaste_excessivo_no_pneu'})
0.025979061651803026,frozenset({'ctx_tracado_via_Reta;Aclive'})
0.12097712291585885,frozenset({'ctx_tipo_acidente_Tombamento'})
0.05040713454827452,frozenset({'ctx_fase_dia_Amanhecer'})
0.006203955021326095,frozenset({'ctx_condicao_metereologica_Nevoeiro/Neblina'})
