regra,n_anos_presente,n_anos_total,freq_relativa,status,lift_medio,confianca_media,anos
"ctx_fase_dia_Plena_Noite, ctx_fim_de_semana_Sim, ctx_tipo_acidente_Atropelamento_de_Pedestre => desfecho_AltaGravidade",2,3,0.667,estavel,2.4657,0.8314,"[2023, 2025]"
"ctx_causa_acidente_Pedestre_andava_na_pista, ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Atropelamento_de_Pedestre => desfecho_AltaGravidade",2,3,0.667,estavel,2.4517,0.8263,"[2023, 2025]"
"ctx_causa_acidente_Pedestre_andava_na_pista, ctx_uso_solo_Não => desfecho_AltaGravidade",2,3,0.667,estavel,2.4487,0.826,"[2024, 2025]"
"ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_tipo_pista_Dupla => desfecho_AltaGravidade",2,3,0.667,estavel,2.4472,0.8246,"[2023, 2025]"
"ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_uso_solo_Não => desfecho_AltaGravidade",2,3,0.667,estavel,2.4414,0.8237,"[2024, 2025]"
"ctx_causa_acidente_Pedestre_andava_na_pista, ctx_tracado_via_Reta => desfecho_AltaGravidade",2,3,0.667,estavel,2.4239,0.8162,"[2023, 2025]"
"ctx_fim_de_semana_Sim, ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_tracado_via_Reta => desfecho_AltaGravidade",2,3,0.667,estavel,2.4158,0.8143,"[2023, 2025]"
"ctx_causa_acidente_Pedestre_andava_na_pista, ctx_fase_dia_Plena_Noite => desfecho_AltaGravidade",3,3,1.0,estavel,2.3948,0.8027,"[2023, 2024, 2025]"
"ctx_causa_acidente_Transitar_na_contramão, ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Colisão_frontal => desfecho_AltaGravidade",2,3,0.667,estavel,2.3759,0.7875,"[2023, 2024]"
"ctx_causa_acidente_Pedestre_andava_na_pista, ctx_condicao_metereologica_Céu_Claro => desfecho_AltaGravidade",2,3,0.667,estavel,2.3722,0.7862,"[2023, 2024]"
"ctx_causa_acidente_Pedestre_andava_na_pista, ctx_tipo_acidente_Atropelamento_de_Pedestre => desfecho_AltaGravidade",3,3,1.0,estavel,2.3426,0.7852,"[2023, 2024, 2025]"
"ctx_fim_de_semana_Sim, ctx_tipo_acidente_Atropelamento_de_Pedestre => desfecho_AltaGravidade",2,3,0.667,estavel,2.3393,0.7886,"[2023, 2025]"
"ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Atropelamento_de_Pedestre => desfecho_AltaGravidade",3,3,1.0,estavel,2.3288,0.7809,"[2023, 2024, 2025]"
"ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_tipo_pista_Dupla, ctx_tracado_via_Reta => desfecho_AltaGravidade",2,3,0.667,estavel,2.3166,0.7803,"[2023, 2025]"
"ctx_causa_acidente_Transitar_na_contramão, ctx_fim_de_semana_Sim, ctx_tipo_acidente_Colisão_frontal => desfecho_AltaGravidade",3,3,1.0,estavel,2.3145,0.7759,"[2023, 2024, 2025]"
"ctx_condicao_metereologica_Céu_Claro, ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_uso_solo_Não => desfecho_AltaGravidade",2,3,0.667,estavel,2.3143,0.7803,"[2023, 2025]"
"ctx_causa_acidente_Transitar_na_contramão, ctx_tipo_acidente_Colisão_frontal, ctx_uso_solo_Não => desfecho_AltaGravidade",3,3,1.0,estavel,2.2964,0.7697,"[2023, 2024, 2025]"
"ctx_fase_dia_Plena_Noite, ctx_fim_de_semana_Não, ctx_tipo_acidente_Colisão_frontal => desfecho_AltaGravidade",2,3,0.667,estavel,2.2918,0.7596,"[2023, 2024]"
"ctx_condicao_metereologica_Céu_Claro, ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_tipo_pista_Simples => desfecho_AltaGravidade",2,3,0.667,estavel,2.2886,0.7718,"[2024, 2025]"
"ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_tipo_pista_Simples, ctx_uso_solo_Não => desfecho_AltaGravidade",3,3,1.0,estavel,2.2863,0.7668,"[2023, 2024, 2025]"
ctx_causa_acidente_Pedestre_andava_na_pista => desfecho_AltaGravidade,3,3,1.0,estavel,2.2861,0.7662,"[2023, 2024, 2025]"
"ctx_condicao_metereologica_Nublado, ctx_tipo_acidente_Colisão_frontal, ctx_uso_solo_Não => desfecho_AltaGravidade",2,3,0.667,estavel,2.2764,0.7663,"[2023, 2025]"
"ctx_causa_acidente_Transitar_na_contramão, ctx_fim_de_semana_Sim, ctx_uso_solo_Não => desfecho_AltaGravidade",3,3,1.0,estavel,2.2639,0.7596,"[2023, 2024, 2025]"
"ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_uso_solo_Não => desfecho_AltaGravidade",3,3,1.0,estavel,2.2557,0.7566,"[2023, 2024, 2025]"
"ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Colisão_frontal, ctx_uso_solo_Não => desfecho_AltaGravidade",3,3,1.0,estavel,2.255,0.7557,"[2023, 2024, 2025]"
"ctx_causa_acidente_Transitar_na_contramão, ctx_tipo_acidente_Colisão_frontal, ctx_tipo_pista_Simples => desfecho_AltaGravidade",3,3,1.0,estavel,2.2373,0.7498,"[2023, 2024, 2025]"
"ctx_causa_acidente_Entrada_inopinada_do_pedestre, ctx_tipo_acidente_Atropelamento_de_Pedestre => desfecho_AltaGravidade",2,3,0.667,estavel,2.2334,0.7535,"[2024, 2025]"
"ctx_condicao_metereologica_Céu_Claro, ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_tracado_via_Reta => desfecho_AltaGravidade",2,3,0.667,estavel,2.2332,0.7402,"[2023, 2024]"
"ctx_causa_acidente_Transitar_na_contramão, ctx_tipo_acidente_Colisão_frontal => desfecho_AltaGravidade",3,3,1.0,estavel,2.2138,0.7419,"[2023, 2024, 2025]"
"ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_tipo_pista_Dupla => desfecho_AltaGravidade",3,3,1.0,estavel,2.2127,0.7419,"[2023, 2024, 2025]"
"ctx_condicao_metereologica_Céu_Claro, ctx_tipo_acidente_Atropelamento_de_Pedestre => desfecho_AltaGravidade",2,3,0.667,estavel,2.2126,0.7334,"[2023, 2024]"
"ctx_fim_de_semana_Sim, ctx_tipo_acidente_Colisão_frontal, ctx_tracado_via_Reta => desfecho_AltaGravidade",2,3,0.667,estavel,2.1981,0.7415,"[2024, 2025]"
"ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Colisão_frontal, ctx_tipo_pista_Simples => desfecho_AltaGravidade",3,3,1.0,estavel,2.1929,0.7347,"[2023, 2024, 2025]"
"ctx_causa_acidente_Transitar_na_contramão, ctx_fim_de_semana_Sim => desfecho_AltaGravidade",3,3,1.0,estavel,2.1889,0.7342,"[2023, 2024, 2025]"
"ctx_fim_de_semana_Sim, ctx_tipo_acidente_Colisão_frontal, ctx_uso_solo_Não => desfecho_AltaGravidade",2,3,0.667,estavel,2.1847,0.7371,"[2024, 2025]"
"ctx_condicao_metereologica_Céu_Claro, ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Colisão_frontal => desfecho_AltaGravidade",3,3,1.0,estavel,2.1822,0.7313,"[2023, 2024, 2025]"
"ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_tracado_via_Reta => desfecho_AltaGravidade",3,3,1.0,estavel,2.1794,0.7307,"[2023, 2024, 2025]"
"ctx_causa_acidente_Ultrapassagem_Indevida, ctx_tipo_acidente_Colisão_frontal => desfecho_AltaGravidade",2,3,0.667,estavel,2.1761,0.7341,"[2024, 2025]"
"ctx_causa_acidente_Transitar_na_contramão, ctx_fim_de_semana_Sim, ctx_tipo_pista_Simples => desfecho_AltaGravidade",2,3,0.667,estavel,2.1733,0.7203,"[2023, 2024]"
"ctx_tipo_acidente_Colisão_frontal, ctx_tracado_via_Reta, ctx_uso_solo_Não => desfecho_AltaGravidade",3,3,1.0,estavel,2.166,0.726,"[2023, 2024, 2025]"
"ctx_tipo_acidente_Colisão_frontal, ctx_tipo_pista_Simples, ctx_uso_solo_Não => desfecho_AltaGravidade",2,3,0.667,estavel,2.1652,0.7293,"[2023, 2025]"
"ctx_causa_acidente_Transitar_na_contramão, ctx_fase_dia_Plena_Noite, ctx_uso_solo_Não => desfecho_AltaGravidade",3,3,1.0,estavel,2.152,0.7212,"[2023, 2024, 2025]"
"ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Colisão_frontal => desfecho_AltaGravidade",3,3,1.0,estavel,2.1511,0.7208,"[2023, 2024, 2025]"
ctx_causa_acidente_Entrada_inopinada_do_pedestre => desfecho_AltaGravidade,3,3,1.0,estavel,2.1483,0.7206,"[2023, 2024, 2025]"
"ctx_condicao_metereologica_Nublado, ctx_tipo_acidente_Colisão_frontal => desfecho_AltaGravidade",2,3,0.667,estavel,2.1478,0.723,"[2023, 2025]"
"ctx_fim_de_semana_Sim, ctx_tipo_acidente_Colisão_frontal, ctx_tipo_pista_Simples => desfecho_AltaGravidade",2,3,0.667,estavel,2.1466,0.7115,"[2023, 2024]"
ctx_tipo_acidente_Atropelamento_de_Pedestre => desfecho_AltaGravidade,3,3,1.0,estavel,2.1465,0.7197,"[2023, 2024, 2025]"
"ctx_condicao_metereologica_Céu_Claro, ctx_tipo_acidente_Colisão_frontal, ctx_uso_solo_Não => desfecho_AltaGravidade",3,3,1.0,estavel,2.142,0.718,"[2023, 2024, 2025]"
"ctx_tipo_acidente_Colisão_frontal, ctx_uso_solo_Não => desfecho_AltaGravidade",3,3,1.0,estavel,2.1076,0.7064,"[2023, 2024, 2025]"
"ctx_condicao_metereologica_Céu_Claro, ctx_fim_de_semana_Não, ctx_tipo_acidente_Colisão_frontal => desfecho_AltaGravidade",2,3,0.667,estavel,2.1002,0.6961,"[2023, 2024]"
"ctx_causa_acidente_Transitar_na_contramão, ctx_fase_dia_Plena_Noite, ctx_tipo_pista_Simples => desfecho_AltaGravidade",3,3,1.0,estavel,2.0886,0.6998,"[2023, 2024, 2025]"
"ctx_fim_de_semana_Sim, ctx_tipo_acidente_Colisão_frontal => desfecho_AltaGravidade",2,3,0.667,estavel,2.0846,0.703,"[2024, 2025]"
"ctx_causa_acidente_Transitar_na_contramão, ctx_fase_dia_Plena_Noite => desfecho_AltaGravidade",3,3,1.0,estavel,2.0841,0.6983,"[2023, 2024, 2025]"
"ctx_condicao_metereologica_Céu_Claro, ctx_tipo_acidente_Colisão_frontal, ctx_tracado_via_Curva => desfecho_AltaGravidade",2,3,0.667,estavel,2.0835,0.7018,"[2023, 2025]"
"ctx_condicao_metereologica_Céu_Claro, ctx_tipo_acidente_Colisão_frontal, ctx_tipo_pista_Simples => desfecho_AltaGravidade",3,3,1.0,estavel,2.0803,0.6972,"[2023, 2024, 2025]"
"ctx_causa_acidente_Transitar_na_contramão, ctx_tracado_via_Curva => desfecho_AltaGravidade",2,3,0.667,estavel,2.0558,0.6925,"[2023, 2025]"
"ctx_causa_acidente_Transitar_na_contramão, ctx_tipo_pista_Simples, ctx_uso_solo_Não => desfecho_AltaGravidade",3,3,1.0,estavel,2.0553,0.6889,"[2023, 2024, 2025]"
"ctx_tipo_acidente_Colisão_frontal, ctx_tipo_pista_Simples, ctx_tracado_via_Reta => desfecho_AltaGravidade",2,3,0.667,estavel,2.0536,0.6925,"[2024, 2025]"
"ctx_tipo_acidente_Colisão_frontal, ctx_tipo_pista_Simples => desfecho_AltaGravidade",3,3,1.0,estavel,2.045,0.6853,"[2023, 2024, 2025]"
