regra,n_anos_presente,n_anos_total,freq_relativa,status,lift_medio,confianca_media,anos
"ctx_causa_acidente_Pedestre_andava_na_pista, ctx_tracado_via_Reta => desfecho_AltaGravidade",2,4,0.5,estavel,2.8138,0.9167,"[2023, 2025]"
"ctx_causa_acidente_Transitar_na_contramão, ctx_fim_de_semana_Sim, ctx_tipo_acidente_Colisão_frontal => desfecho_AltaGravidade",4,4,1.0,estavel,2.7037,0.8763,"[2023, 2024, 2025, 2026]"
"ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_tipo_pista_Simples => desfecho_AltaGravidade",2,4,0.5,estavel,2.7016,0.8783,"[2023, 2024]"
"ctx_causa_acidente_Transitar_na_contramão, ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Colisão_frontal => desfecho_AltaGravidade",3,4,0.75,estavel,2.6452,0.8512,"[2023, 2024, 2026]"
"ctx_causa_acidente_Pedestre_andava_na_pista, ctx_uso_solo_Não => desfecho_AltaGravidade",3,4,0.75,estavel,2.6149,0.8442,"[2023, 2025, 2026]"
"ctx_causa_acidente_Transitar_na_contramão, ctx_condicao_metereologica_Céu_Claro, ctx_tipo_acidente_Colisão_frontal => desfecho_AltaGravidade",2,4,0.5,estavel,2.6034,0.8372,"[2024, 2026]"
"ctx_causa_acidente_Transitar_na_contramão, ctx_condicao_metereologica_Céu_Claro, ctx_fase_dia_Plena_Noite => desfecho_AltaGravidade",2,4,0.5,estavel,2.5997,0.8342,"[2024, 2026]"
"ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_tracado_via_Reta => desfecho_AltaGravidade",2,4,0.5,estavel,2.5754,0.8397,"[2023, 2025]"
"ctx_fim_de_semana_Sim, ctx_tipo_acidente_Colisão_frontal, ctx_tracado_via_Reta => desfecho_AltaGravidade",2,4,0.5,estavel,2.5706,0.8452,"[2024, 2025]"
"ctx_causa_acidente_Transitar_na_contramão, ctx_fase_dia_Plena_Noite, ctx_tracado_via_Reta => desfecho_AltaGravidade",2,4,0.5,estavel,2.5697,0.8197,"[2023, 2026]"
