regra,n_anos_presente,n_anos_total,freq_relativa,status,lift_medio,confianca_media,anos
"ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_uso_solo_Não => desfecho_Fatal",2,4,0.5,estavel,5.6527,0.4371,"[2023, 2025]"
"ctx_causa_acidente_Transitar_na_contramão, ctx_tipo_acidente_Colisão_frontal, ctx_uso_solo_Não => desfecho_Fatal",4,4,1.0,estavel,5.5566,0.4393,"[2023, 2024, 2025, 2026]"
"ctx_causa_acidente_Transitar_na_contramão, ctx_tipo_acidente_Colisão_frontal, ctx_tipo_pista_Simples => desfecho_Fatal",4,4,1.0,estavel,5.0138,0.3959,"[2023, 2024, 2025, 2026]"
"ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Colisão_frontal, ctx_uso_solo_Não => desfecho_Fatal",4,4,1.0,estavel,4.9423,0.3904,"[2023, 2024, 2025, 2026]"
"ctx_fim_de_semana_Sim, ctx_tipo_acidente_Colisão_frontal, ctx_uso_solo_Não => desfecho_Fatal",3,4,0.75,estavel,4.9066,0.3895,"[2024, 2025, 2026]"
"ctx_tipo_acidente_Colisão_frontal, ctx_tracado_via_Reta, ctx_uso_solo_Não => desfecho_Fatal",3,4,0.75,estavel,4.89,0.3883,"[2024, 2025, 2026]"
"ctx_condicao_metereologica_Céu_Claro, ctx_tipo_acidente_Colisão_frontal, ctx_uso_solo_Não => desfecho_Fatal",4,4,1.0,estavel,4.8476,0.3825,"[2023, 2024, 2025, 2026]"
"ctx_condicao_metereologica_Céu_Claro, ctx_fim_de_semana_Não, ctx_tipo_acidente_Colisão_frontal => desfecho_Fatal",2,4,0.5,estavel,4.7893,0.3744,"[2023, 2024]"
"ctx_causa_acidente_Transitar_na_contramão, ctx_tipo_acidente_Colisão_frontal => desfecho_Fatal",4,4,1.0,estavel,4.7833,0.3777,"[2023, 2024, 2025, 2026]"
"ctx_condicao_metereologica_Céu_Claro, ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Atropelamento_de_Pedestre => desfecho_Fatal",3,4,0.75,estavel,4.6937,0.3728,"[2023, 2024, 2026]"
"ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Atropelamento_de_Pedestre => desfecho_Fatal",4,4,1.0,estavel,4.6596,0.3675,"[2023, 2024, 2025, 2026]"
"ctx_condicao_metereologica_Céu_Claro, ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_tipo_pista_Dupla => desfecho_Fatal",2,4,0.5,estavel,4.6429,0.3591,"[2023, 2025]"
"ctx_tipo_acidente_Colisão_frontal, ctx_tipo_pista_Simples, ctx_uso_solo_Não => desfecho_Fatal",3,4,0.75,estavel,4.5892,0.3574,"[2023, 2024, 2025]"
"ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_uso_solo_Não => desfecho_Fatal",4,4,1.0,estavel,4.5267,0.3565,"[2023, 2024, 2025, 2026]"
"ctx_tipo_acidente_Colisão_frontal, ctx_uso_solo_Não => desfecho_Fatal",4,4,1.0,estavel,4.4948,0.3545,"[2023, 2024, 2025, 2026]"
"ctx_fim_de_semana_Sim, ctx_tipo_acidente_Colisão_frontal, ctx_tipo_pista_Simples => desfecho_Fatal",4,4,1.0,estavel,4.4584,0.3517,"[2023, 2024, 2025, 2026]"
"ctx_condicao_metereologica_Céu_Claro, ctx_tipo_acidente_Colisão_frontal, ctx_tipo_pista_Simples => desfecho_Fatal",3,4,0.75,estavel,4.3998,0.3428,"[2023, 2024, 2025]"
"ctx_fim_de_semana_Sim, ctx_tipo_acidente_Colisão_frontal => desfecho_Fatal",3,4,0.75,estavel,4.3974,0.3492,"[2024, 2025, 2026]"
"ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Colisão_frontal, ctx_tipo_pista_Simples => desfecho_Fatal",4,4,1.0,estavel,4.3642,0.3443,"[2023, 2024, 2025, 2026]"
"ctx_causa_acidente_Transitar_na_contramão, ctx_uso_solo_Não => desfecho_Fatal",4,4,1.0,estavel,4.3448,0.3437,"[2023, 2024, 2025, 2026]"
"ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_tipo_pista_Dupla => desfecho_Fatal",4,4,1.0,estavel,4.2852,0.3381,"[2023, 2024, 2025, 2026]"
"ctx_condicao_metereologica_Céu_Claro, ctx_tipo_acidente_Colisão_frontal, ctx_tracado_via_Reta => desfecho_Fatal",2,4,0.5,estavel,4.2801,0.3441,"[2024, 2026]"
"ctx_tipo_acidente_Colisão_frontal, ctx_tipo_pista_Simples, ctx_tracado_via_Reta => desfecho_Fatal",3,4,0.75,estavel,4.2693,0.3389,"[2024, 2025, 2026]"
"ctx_condicao_metereologica_Céu_Claro, ctx_tipo_acidente_Colisão_frontal => desfecho_Fatal",3,4,0.75,estavel,4.2657,0.3324,"[2023, 2024, 2025]"
"ctx_causa_acidente_Transitar_na_contramão, ctx_tipo_pista_Simples, ctx_uso_solo_Não => desfecho_Fatal",3,4,0.75,estavel,4.264,0.3325,"[2023, 2024, 2025]"
"ctx_tipo_acidente_Colisão_frontal, ctx_tracado_via_Reta => desfecho_Fatal",3,4,0.75,estavel,4.1524,0.3298,"[2024, 2025, 2026]"
"ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Colisão_frontal => desfecho_Fatal",4,4,1.0,estavel,4.131,0.3258,"[2023, 2024, 2025, 2026]"
"ctx_tipo_acidente_Colisão_frontal, ctx_tipo_pista_Simples => desfecho_Fatal",4,4,1.0,estavel,4.0472,0.3192,"[2023, 2024, 2025, 2026]"
ctx_tipo_acidente_Colisão_frontal => desfecho_Fatal,4,4,1.0,estavel,3.9386,0.3106,"[2023, 2024, 2025, 2026]"
"ctx_causa_acidente_Transitar_na_contramão, ctx_tipo_pista_Simples => desfecho_Fatal",4,4,1.0,estavel,3.9158,0.3094,"[2023, 2024, 2025, 2026]"
ctx_causa_acidente_Transitar_na_contramão => desfecho_Fatal,4,4,1.0,estavel,3.7876,0.2993,"[2023, 2024, 2025, 2026]"
"ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_tracado_via_Reta => desfecho_Fatal",2,4,0.5,estavel,3.7399,0.2892,"[2023, 2025]"
"ctx_condicao_metereologica_Céu_Claro, ctx_tipo_acidente_Atropelamento_de_Pedestre => desfecho_Fatal",3,4,0.75,estavel,3.7275,0.2904,"[2023, 2024, 2025]"
ctx_tipo_acidente_Atropelamento_de_Pedestre => desfecho_Fatal,4,4,1.0,estavel,3.6573,0.2887,"[2023, 2024, 2025, 2026]"
"ctx_fase_dia_Amanhecer, ctx_uso_solo_Não => desfecho_Fatal",2,4,0.5,estavel,1.9378,0.1499,"[2023, 2025]"
"ctx_fase_dia_Plena_Noite, ctx_fim_de_semana_Sim, ctx_tipo_pista_Simples => desfecho_Fatal",3,4,0.75,estavel,1.9167,0.1493,"[2023, 2024, 2025]"
"ctx_condicao_metereologica_Nublado, ctx_fase_dia_Plena_Noite, ctx_uso_solo_Não => desfecho_Fatal",2,4,0.5,estavel,1.9059,0.149,"[2024, 2025]"
"ctx_condicao_metereologica_Céu_Claro, ctx_fase_dia_Plena_Noite, ctx_tipo_pista_Simples => desfecho_Fatal",3,4,0.75,estavel,1.8894,0.1472,"[2023, 2024, 2025]"
"ctx_fase_dia_Plena_Noite, ctx_tipo_pista_Simples, ctx_uso_solo_Não => desfecho_Fatal",4,4,1.0,estavel,1.8431,0.145,"[2023, 2024, 2025, 2026]"
"ctx_fase_dia_Plena_Noite, ctx_tipo_pista_Simples, ctx_tracado_via_Reta => desfecho_Fatal",3,4,0.75,estavel,1.7363,0.1364,"[2023, 2025, 2026]"
"ctx_condicao_metereologica_Céu_Claro, ctx_fase_dia_Plena_Noite, ctx_uso_solo_Não => desfecho_Fatal",4,4,1.0,estavel,1.7293,0.1363,"[2023, 2024, 2025, 2026]"
"ctx_condicao_metereologica_Céu_Claro, ctx_fase_dia_Plena_Noite, ctx_fim_de_semana_Sim => desfecho_Fatal",2,4,0.5,estavel,1.726,0.1375,"[2023, 2026]"
"ctx_fase_dia_Plena_Noite, ctx_fim_de_semana_Sim, ctx_uso_solo_Não => desfecho_Fatal",3,4,0.75,estavel,1.6963,0.1322,"[2023, 2024, 2025]"
"ctx_fim_de_semana_Sim, ctx_tipo_pista_Simples, ctx_uso_solo_Não => desfecho_Fatal",3,4,0.75,estavel,1.6604,0.1294,"[2023, 2024, 2025]"
"ctx_fase_dia_Plena_Noite, ctx_tipo_pista_Simples => desfecho_Fatal",4,4,1.0,estavel,1.6432,0.1293,"[2023, 2024, 2025, 2026]"
"ctx_fase_dia_Plena_Noite, ctx_tracado_via_Reta, ctx_uso_solo_Não => desfecho_Fatal",3,4,0.75,estavel,1.6424,0.1291,"[2023, 2025, 2026]"
"ctx_condicao_metereologica_Céu_Claro, ctx_fase_dia_Plena_Noite, ctx_fim_de_semana_Não => desfecho_Fatal",2,4,0.5,estavel,1.6416,0.1285,"[2024, 2025]"
"ctx_condicao_metereologica_Nublado, ctx_tipo_pista_Simples, ctx_uso_solo_Não => desfecho_Fatal",2,4,0.5,estavel,1.6358,0.1279,"[2024, 2025]"
"ctx_causa_acidente_Velocidade_Incompatível, ctx_tipo_pista_Simples, ctx_uso_solo_Não => desfecho_Fatal",2,4,0.5,estavel,1.6305,0.1261,"[2023, 2025]"
ctx_fase_dia_Amanhecer => desfecho_Fatal,3,4,0.75,estavel,1.6082,0.1252,"[2023, 2024, 2025]"
"ctx_condicao_metereologica_Nublado, ctx_fase_dia_Plena_Noite => desfecho_Fatal",2,4,0.5,estavel,1.6064,0.1257,"[2024, 2025]"
"ctx_fase_dia_Plena_Noite, ctx_fim_de_semana_Sim, ctx_tracado_via_Reta => desfecho_Fatal",3,4,0.75,estavel,1.6053,0.125,"[2023, 2024, 2025]"
