min_support,min_confidence,min_lift,n_regras,lift_max,confidence_max
0.005,0.35,1.05,209,2.4338,0.8162
0.005,0.35,1.1,182,2.4338,0.8162
0.005,0.35,1.25,128,2.4338,0.8162
0.005,0.4,1.05,154,2.4338,0.8162
0.005,0.4,1.1,154,2.4338,0.8162
0.005,0.4,1.25,128,2.4338,0.8162
0.005,0.5,1.05,79,2.4338,0.8162
0.005,0.5,1.1,79,2.4338,0.8162
0.005,0.5,1.25,79,2.4338,0.8162
0.01,0.35,1.05,114,2.4012,0.8053
0.01,0.35,1.1,101,2.4012,0.8053
0.01,0.35,1.25,64,2.4012,0.8053
0.01,0.4,1.05,86,2.4012,0.8053
0.01,0.4,1.1,86,2.4012,0.8053
0.01,0.4,1.25,64,2.4012,0.8053
0.01,0.5,1.05,38,2.4012,0.8053
0.01,0.5,1.1,38,2.4012,0.8053
0.01,0.5,1.25,38,2.4012,0.8053
0.02,0.35,1.05,51,2.1967,0.7367
0.02,0.35,1.1,46,2.1967,0.7367
0.02,0.35,1.25,24,2.1967,0.7367
0.02,0.4,1.05,36,2.1967,0.7367
0.02,0.4,1.1,36,2.1967,0.7367
0.02,0.4,1.25,24,2.1967,0.7367
0.02,0.5,1.05,11,2.1967,0.7367
0.02,0.5,1.1,11,2.1967,0.7367
0.02,0.5,1.25,11,2.1967,0.7367
