antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,antecedents_str,consequents_str,n_antecedentes,explicacao_natural
"frozenset({'ctx_fase_dia_Plena_Noite', 'ctx_uso_solo_Não', 'ctx_tipo_acidente_Atropelamento_de_Pedestre'})",frozenset({'desfecho_Fatal'}),0.012491170675489795,0.0782928733410164,0.0053161827577233355,0.4255952380952381,5.435938418577307,0.004338213114146195,"ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_uso_solo_Não",desfecho_Fatal,3,"Quando fase=dia Plena Noite E tipo=acidente Atropelamento de Pedestre E uso=solo Não, entao desfecho fatal. [Suporte: 0.5% | Confianca: 42.6% | Lift: 5.44]"
"frozenset({'ctx_causa_acidente_Transitar_na_contramão', 'ctx_tipo_acidente_Colisão_frontal', 'ctx_uso_solo_Não'})",frozenset({'desfecho_Fatal'}),0.017509944607606232,0.0782928733410164,0.007398044536971635,0.4225053078556263,5.396472115863482,0.0060271406616001074,"ctx_causa_acidente_Transitar_na_contramão, ctx_tipo_acidente_Colisão_frontal, ctx_uso_solo_Não",desfecho_Fatal,3,"Quando causa=acidente Transitar na contramão E tipo=acidente Colisão frontal E uso=solo Não, entao desfecho fatal. [Suporte: 0.7% | Confianca: 42.3% | Lift: 5.40]"
"frozenset({'ctx_causa_acidente_Transitar_na_contramão', 'ctx_tipo_pista_Simples', 'ctx_tipo_acidente_Colisão_frontal'})",frozenset({'desfecho_Fatal'}),0.019963567418863154,0.0782928733410164,0.00776980556898026,0.38919925512104286,4.971068738604431,0.006206800513620365,"ctx_causa_acidente_Transitar_na_contramão, ctx_tipo_acidente_Colisão_frontal, ctx_tipo_pista_Simples",desfecho_Fatal,3,"Quando causa=acidente Transitar na contramão E tipo=acidente Colisão frontal E tipo=pista Simples, entao desfecho fatal. [Suporte: 0.8% | Confianca: 38.9% | Lift: 4.97]"
"frozenset({'ctx_tipo_acidente_Colisão_frontal', 'ctx_uso_solo_Não', 'ctx_condicao_metereologica_Céu_Claro'})",frozenset({'desfecho_Fatal'}),0.029666530354288262,0.0782928733410164,0.011190007063459607,0.37719298245614036,4.817717965378784,0.008867329159963898,"ctx_condicao_metereologica_Céu_Claro, ctx_tipo_acidente_Colisão_frontal, ctx_uso_solo_Não",desfecho_Fatal,3,"Quando condicao=metereologica Céu Claro E tipo=acidente Colisão frontal E uso=solo Não, entao desfecho fatal. [Suporte: 1.1% | Confianca: 37.7% | Lift: 4.82]"
"frozenset({'ctx_tipo_acidente_Colisão_frontal', 'ctx_fase_dia_Plena_Noite', 'ctx_uso_solo_Não'})",frozenset({'desfecho_Fatal'}),0.019666158593256256,0.0782928733410164,0.007398044536971635,0.3761814744801512,4.804798424521172,0.005858324473125481,"ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Colisão_frontal, ctx_uso_solo_Não",desfecho_Fatal,3,"Quando fase=dia Plena Noite E tipo=acidente Colisão frontal E uso=solo Não, entao desfecho fatal. [Suporte: 0.7% | Confianca: 37.6% | Lift: 4.80]"
"frozenset({'ctx_tracado_via_Reta', 'ctx_tipo_acidente_Colisão_frontal', 'ctx_uso_solo_Não'})",frozenset({'desfecho_Fatal'}),0.023086360087735604,0.0782928733410164,0.008662032045800959,0.37520128824476645,4.79227894230578,0.006854534579546779,"ctx_tipo_acidente_Colisão_frontal, ctx_tracado_via_Reta, ctx_uso_solo_Não",desfecho_Fatal,3,"Quando tipo=acidente Colisão frontal E tracado=via Reta E uso=solo Não, entao desfecho fatal. [Suporte: 0.9% | Confianca: 37.5% | Lift: 4.79]"
"frozenset({'ctx_fim_de_semana_Sim', 'ctx_tipo_acidente_Colisão_frontal', 'ctx_uso_solo_Não'})",frozenset({'desfecho_Fatal'}),0.021227554927692478,0.0782928733410164,0.007918509981783709,0.37302977232924694,4.764543136697252,0.006256543712490414,"ctx_fim_de_semana_Sim, ctx_tipo_acidente_Colisão_frontal, ctx_uso_solo_Não",desfecho_Fatal,3,"Quando fim=de semana Sim E tipo=acidente Colisão frontal E uso=solo Não, entao desfecho fatal. [Suporte: 0.8% | Confianca: 37.3% | Lift: 4.76]"
"frozenset({'ctx_causa_acidente_Transitar_na_contramão', 'ctx_tipo_acidente_Colisão_frontal', 'ctx_condicao_metereologica_Céu_Claro'})",frozenset({'desfecho_Fatal'}),0.013569277668314807,0.0782928733410164,0.005055950035317298,0.37260273972602737,4.759088839454136,0.003993572297502844,"ctx_causa_acidente_Transitar_na_contramão, ctx_condicao_metereologica_Céu_Claro, ctx_tipo_acidente_Colisão_frontal",desfecho_Fatal,3,"Quando causa=acidente Transitar na contramão E condicao=metereologica Céu Claro E tipo=acidente Colisão frontal, entao desfecho fatal. [Suporte: 0.5% | Confianca: 37.3% | Lift: 4.76]"
"frozenset({'ctx_causa_acidente_Transitar_na_contramão', 'ctx_tipo_acidente_Colisão_frontal'})",frozenset({'desfecho_Fatal'}),0.02226848581731663,0.0782928733410164,0.008253094910591471,0.3706176961602671,4.733734762115396,0.0065096311710000805,"ctx_causa_acidente_Transitar_na_contramão, ctx_tipo_acidente_Colisão_frontal",desfecho_Fatal,2,"Quando causa=acidente Transitar na contramão E tipo=acidente Colisão frontal, entao desfecho fatal. [Suporte: 0.8% | Confianca: 37.1% | Lift: 4.73]"
"frozenset({'ctx_fase_dia_Plena_Noite', 'ctx_tipo_acidente_Atropelamento_de_Pedestre'})",frozenset({'desfecho_Fatal'}),0.02479646083497528,0.0782928733410164,0.009108145284211309,0.36731634182908546,4.691568033646994,0.007166759116753116,"ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Atropelamento_de_Pedestre",desfecho_Fatal,2,"Quando fase=dia Plena Noite E tipo=acidente Atropelamento de Pedestre, entao desfecho fatal. [Suporte: 0.9% | Confianca: 36.7% | Lift: 4.69]"
"frozenset({'ctx_uso_solo_Não', 'ctx_tipo_acidente_Atropelamento_de_Pedestre'})",frozenset({'desfecho_Fatal'}),0.02182237257890628,0.0782928733410164,0.007918509981783709,0.362862010221465,4.634674839955929,0.00620997372946293,"ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_uso_solo_Não",desfecho_Fatal,2,"Quando tipo=acidente Atropelamento de Pedestre E uso=solo Não, entao desfecho fatal. [Suporte: 0.8% | Confianca: 36.3% | Lift: 4.63]"
"frozenset({'ctx_tipo_acidente_Colisão_frontal', 'ctx_tipo_pista_Simples', 'ctx_uso_solo_Não'})",frozenset({'desfecho_Fatal'}),0.05349641250604112,0.0782928733410164,0.01914569314844418,0.35788742182070876,4.571136637965454,0.014957305299909936,"ctx_tipo_acidente_Colisão_frontal, ctx_tipo_pista_Simples, ctx_uso_solo_Não",desfecho_Fatal,3,"Quando tipo=acidente Colisão frontal E tipo=pista Simples E uso=solo Não, entao desfecho fatal. [Suporte: 1.9% | Confianca: 35.8% | Lift: 4.57]"
"frozenset({'ctx_tipo_acidente_Colisão_frontal', 'ctx_uso_solo_Não'})",frozenset({'desfecho_Fatal'}),0.05680508569091788,0.0782928733410164,0.019963567418863154,0.35143979057591623,4.488783915812712,0.015516134039738538,"ctx_tipo_acidente_Colisão_frontal, ctx_uso_solo_Não",desfecho_Fatal,2,"Quando tipo=acidente Colisão frontal E uso=solo Não, entao desfecho fatal. [Suporte: 2.0% | Confianca: 35.1% | Lift: 4.49]"
"frozenset({'ctx_fim_de_semana_Sim', 'ctx_tipo_pista_Simples', 'ctx_tipo_acidente_Colisão_frontal'})",frozenset({'desfecho_Fatal'}),0.024313171493364066,0.0782928733410164,0.008438975426595784,0.3470948012232416,4.433287302043674,0.006535427370347421,"ctx_fim_de_semana_Sim, ctx_tipo_acidente_Colisão_frontal, ctx_tipo_pista_Simples",desfecho_Fatal,3,"Quando fim=de semana Sim E tipo=acidente Colisão frontal E tipo=pista Simples, entao desfecho fatal. [Suporte: 0.8% | Confianca: 34.7% | Lift: 4.43]"
"frozenset({'ctx_fase_dia_Plena_Noite', 'ctx_tipo_acidente_Colisão_frontal', 'ctx_condicao_metereologica_Céu_Claro'})",frozenset({'desfecho_Fatal'}),0.015019145693148444,0.0782928733410164,0.005167478344919886,0.3440594059405941,4.394517550045603,0.0039915862734759425,"ctx_condicao_metereologica_Céu_Claro, ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Colisão_frontal",desfecho_Fatal,3,"Quando condicao=metereologica Céu Claro E fase=dia Plena Noite E tipo=acidente Colisão frontal, entao desfecho fatal. [Suporte: 0.5% | Confianca: 34.4% | Lift: 4.39]"
