antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,antecedents_str,consequents_str,n_antecedentes,explicacao_natural
"frozenset({'ctx_fase_dia_Plena_Noite', 'ctx_tipo_acidente_Atropelamento_de_Pedestre', 'ctx_uso_solo_Não'})",frozenset({'desfecho_Fatal'}),0.012458881578947369,0.07791940789473684,0.00546875,0.43894389438943887,5.6333063385494215,0.004497961324337777,"ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_uso_solo_Não",desfecho_Fatal,3,"Quando fase do dia=Plena Noite E tipo de acidente=Atropelamento de Pedestre E entorno=rural, entao desfecho fatal. [Suporte: 0.5% | Confianca: 43.9% | Lift: 5.63]"
"frozenset({'ctx_causa_acidente_Transitar_na_contramão', 'ctx_tipo_acidente_Colisão_frontal', 'ctx_uso_solo_Não'})",frozenset({'desfecho_Fatal'}),0.01763980263157895,0.07791940789473684,0.0072779605263157895,0.41258741258741255,5.295053231728693,0.005903477549883137,"ctx_causa_acidente_Transitar_na_contramão, ctx_tipo_acidente_Colisão_frontal, ctx_uso_solo_Não",desfecho_Fatal,3,"Quando causa=Transitar na contramão E tipo de acidente=Colisão frontal E entorno=rural, entao desfecho fatal. [Suporte: 0.7% | Confianca: 41.3% | Lift: 5.30]"
"frozenset({'ctx_tipo_pista_Simples', 'ctx_causa_acidente_Transitar_na_contramão', 'ctx_tipo_acidente_Colisão_frontal'})",frozenset({'desfecho_Fatal'}),0.02006578947368421,0.07791940789473684,0.007730263157894737,0.38524590163934425,4.944158484363511,0.006166748723164819,"ctx_causa_acidente_Transitar_na_contramão, ctx_tipo_acidente_Colisão_frontal, ctx_tipo_pista_Simples",desfecho_Fatal,3,"Quando causa=Transitar na contramão E tipo de acidente=Colisão frontal E tipo de pista=Simples, entao desfecho fatal. [Suporte: 0.8% | Confianca: 38.5% | Lift: 4.94]"
"frozenset({'ctx_causa_acidente_Transitar_na_contramão', 'ctx_condicao_metereologica_Céu_Claro', 'ctx_tipo_acidente_Colisão_frontal'})",frozenset({'desfecho_Fatal'}),0.013610197368421053,0.07791940789473684,0.005139802631578948,0.3776435045317221,4.846591044966481,0.004079304111301074,"ctx_causa_acidente_Transitar_na_contramão, ctx_condicao_metereologica_Céu_Claro, ctx_tipo_acidente_Colisão_frontal",desfecho_Fatal,3,"Quando causa=Transitar na contramão E clima=Céu Claro E tipo de acidente=Colisão frontal, entao desfecho fatal. [Suporte: 0.5% | Confianca: 37.8% | Lift: 4.85]"
"frozenset({'ctx_condicao_metereologica_Céu_Claro', 'ctx_tipo_acidente_Colisão_frontal', 'ctx_uso_solo_Não'})",frozenset({'desfecho_Fatal'}),0.030057565789473686,0.07791940789473684,0.011266447368421053,0.374829001367989,4.810470350010287,0.008924379639348164,"ctx_condicao_metereologica_Céu_Claro, ctx_tipo_acidente_Colisão_frontal, ctx_uso_solo_Não",desfecho_Fatal,3,"Quando clima=Céu Claro E tipo de acidente=Colisão frontal E entorno=rural, entao desfecho fatal. [Suporte: 1.1% | Confianca: 37.5% | Lift: 4.81]"
"frozenset({'ctx_tracado_via_Reta', 'ctx_tipo_acidente_Colisão_frontal', 'ctx_uso_solo_Não'})",frozenset({'desfecho_Fatal'}),0.022820723684210526,0.07791940789473684,0.008511513157894737,0.372972972972973,4.78665050274549,0.006733335880691656,"ctx_tipo_acidente_Colisão_frontal, ctx_tracado_via_Reta, ctx_uso_solo_Não",desfecho_Fatal,3,"Quando tipo de acidente=Colisão frontal E tracado da via=Reta E entorno=rural, entao desfecho fatal. [Suporte: 0.9% | Confianca: 37.3% | Lift: 4.79]"
"frozenset({'ctx_fim_de_semana_Sim', 'ctx_tipo_acidente_Colisão_frontal', 'ctx_uso_solo_Não'})",frozenset({'desfecho_Fatal'}),0.021258223684210525,0.07791940789473684,0.007853618421052632,0.36943907156673117,4.741297213985701,0.006197190218685077,"ctx_fim_de_semana_Sim, ctx_tipo_acidente_Colisão_frontal, ctx_uso_solo_Não",desfecho_Fatal,3,"Quando fim de semana=Sim E tipo de acidente=Colisão frontal E entorno=rural, entao desfecho fatal. [Suporte: 0.8% | Confianca: 36.9% | Lift: 4.74]"
"frozenset({'ctx_uso_solo_Não', 'ctx_tipo_acidente_Colisão_frontal', 'ctx_fase_dia_Plena_Noite'})",frozenset({'desfecho_Fatal'}),0.019942434210526317,0.07791940789473684,0.007360197368421053,0.3690721649484536,4.736588417702581,0.005806294702757099,"ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Colisão_frontal, ctx_uso_solo_Não",desfecho_Fatal,3,"Quando fase do dia=Plena Noite E tipo de acidente=Colisão frontal E entorno=rural, entao desfecho fatal. [Suporte: 0.7% | Confianca: 36.9% | Lift: 4.74]"
"frozenset({'ctx_tipo_acidente_Atropelamento_de_Pedestre', 'ctx_fase_dia_Plena_Noite'})",frozenset({'desfecho_Fatal'}),0.024629934210526314,0.07791940789473684,0.009046052631578948,0.36727879799666113,4.713572753181425,0.007126902741408415,"ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Atropelamento_de_Pedestre",desfecho_Fatal,2,"Quando fase do dia=Plena Noite E tipo de acidente=Atropelamento de Pedestre, entao desfecho fatal. [Suporte: 0.9% | Confianca: 36.7% | Lift: 4.71]"
"frozenset({'ctx_causa_acidente_Transitar_na_contramão', 'ctx_tipo_acidente_Colisão_frontal'})",frozenset({'desfecho_Fatal'}),0.022327302631578946,0.07791940789473684,0.008182565789473684,0.3664825046040516,4.703353304469939,0.006442835588534453,"ctx_causa_acidente_Transitar_na_contramão, ctx_tipo_acidente_Colisão_frontal",desfecho_Fatal,2,"Quando causa=Transitar na contramão E tipo de acidente=Colisão frontal, entao desfecho fatal. [Suporte: 0.8% | Confianca: 36.6% | Lift: 4.70]"
